data_type,original_value,replacement_value
AHV_NUMBER,756.0238.3647.54,756.8084.9270.31
AHV_NUMBER,756.0271.3408.21,756.9621.0582.94
AHV_NUMBER,756.0300.2924.59,756.8840.6847.34
AHV_NUMBER,756.0404.4044.06,756.7088.6139.57
AHV_NUMBER,756.0824.6635.37,756.9704.3081.93
AHV_NUMBER,756.0829.4402.25,756.9979.0507.80
AHV_NUMBER,756.0883.2409.77,756.4431.7975.86
AHV_NUMBER,756.1137.9355.57,756.1941.1886.75
AHV_NUMBER,756.1629.1043.17,756.7156.6354.78
AHV_NUMBER,756.1715.7531.91,756.0004.2972.79
AHV_NUMBER,756.1856.5064.65,756.6765.1543.49
AHV_NUMBER,756.1971.5940.40,756.9352.8240.83
AHV_NUMBER,756.2703.0071.80,756.0897.4404.00
AHV_NUMBER,756.2854.9930.04,756.8592.9695.16
AHV_NUMBER,756.2867.6481.20,756.4586.2339.46
AHV_NUMBER,756.3518.3268.93,756.7680.6633.36
AHV_NUMBER,756.3558.2870.24,756.4932.2336.37
AHV_NUMBER,756.3919.1210.97,756.5628.9341.80
AHV_NUMBER,756.3992.3016.14,756.5059.4636.62
AHV_NUMBER,756.4003.3361.06,756.4204.5768.44
AHV_NUMBER,756.4091.4578.37,756.6917.6916.54
AHV_NUMBER,756.4372.8350.57,756.3462.0831.01
AHV_NUMBER,756.4510.8838.27,756.9229.8212.07
AHV_NUMBER,756.4561.4552.33,756.3776.3209.85
AHV_NUMBER,756.4577.0694.93,756.5357.5107.09
AHV_NUMBER,756.4884.7012.46,756.0451.5253.76
AHV_NUMBER,756.5089.7063.26,756.6925.3978.69
AHV_NUMBER,756.5211.6857.96,756.8701.7570.58
AHV_NUMBER,756.5420.5334.75,756.5302.6857.42
AHV_NUMBER,756.5508.5763.49,756.6638.1125.82
AHV_NUMBER,756.5706.5171.13,756.3907.7902.43
AHV_NUMBER,756.5840.3034.81,756.2504.3815.26
AHV_NUMBER,756.5903.4903.63,756.8914.1826.09
AHV_NUMBER,756.5910.6199.55,756.8546.5799.45
AHV_NUMBER,756.5918.1082.60,756.3710.2105.70
AHV_NUMBER,756.5980.9049.13,756.8041.9240.35
